DeviceName, DeviceAddedTime, LastSeenTime, 
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:16,
N/A, 2022-03-13 05:35:58, 2022-03-13 05:35:58,
N/A, 2022-03-13 05:43:27, 2022-03-13 05:43:27,
N/A, 2022-03-13 05:54:07, 2022-03-13 05:54:09,
N/A, 2022-03-13 05:48:23, 2022-03-13 05:48:23,
N/A, 2022-03-13 05:38:57, 2022-03-13 05:38:57,
N/A, 2022-03-13 05:48:20, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:38:59, 2022-03-13 05:38:59,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:38:55, 2022-03-13 05:38:55,
N/A, 2022-03-13 05:36:05, 2022-03-13 05:36:05,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
QT 1099629, 2022-03-13 05:48:18, 2022-03-13 05:48:18,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:38:56, 2022-03-13 05:38:56,
N/A, 2022-03-13 05:36:05, 2022-03-13 05:36:05,
N/A, 2022-03-13 05:48:23, 2022-03-13 05:48:23,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:15,
N/A, 2022-03-13 05:48:22, 2022-03-13 05:48:22,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:38:55, 2022-03-13 05:38:55,
N/A, 2022-03-13 05:48:18, 2022-03-13 05:48:18,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:48:21, 2022-03-13 05:48:21,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:39:02, 2022-03-13 05:39:02,
N/A, 2022-03-13 05:38:57, 2022-03-13 05:38:57,
N/A, 2022-03-13 05:48:22, 2022-03-13 05:48:22,
N/A, 2022-03-13 05:54:06, 2022-03-13 05:54:06,
N/A, 2022-03-13 05:36:08, 2022-03-13 05:36:08,
N/A, 2022-03-13 05:36:08, 2022-03-13 05:36:08,
N/A, 2022-03-13 05:43:26, 2022-03-13 05:43:26,
N/A, 2022-03-13 05:36:04, 2022-03-13 05:36:04,
N/A, 2022-03-13 05:43:26, 2022-03-13 05:43:26,
N/A, 2022-03-13 05:48:20, 2022-03-13 05:48:20,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:15,
N/A, 2022-03-13 05:48:20, 2022-03-13 05:48:20,
QT 15493680, 2022-03-13 05:54:05, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:48:25, 2022-03-13 05:48:25,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:43:27, 2022-03-13 05:43:27,
N/A, 2022-03-13 05:39:06, 2022-03-13 05:39:06,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:48:19, 2022-03-13 05:48:19,
N/A, 2022-03-13 05:43:29, 2022-03-13 05:43:29,
N/A, 2022-03-13 05:39:04, 2022-03-13 05:39:04,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:43:30, 2022-03-13 05:43:30,
N/A, 2022-03-13 05:43:29, 2022-03-13 05:43:29,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:38:56, 2022-03-13 05:38:56,
N/A, 2022-03-13 05:36:03, 2022-03-13 05:36:03,
N/A, 2022-03-13 05:48:22, 2022-03-13 05:48:22,
N/A, 2022-03-13 05:48:18, 2022-03-13 05:48:18,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:36:03, 2022-03-13 05:36:03,
N/A, 2022-03-13 05:48:21, 2022-03-13 05:48:21,
N/A, 2022-03-13 05:36:02, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:35:58, 2022-03-13 05:35:58,
ACCMbf47de7fcbbd4f30, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:36:05, 2022-03-13 05:36:05,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:36:04, 2022-03-13 05:36:04,
N/A, 2022-03-13 05:43:26, 2022-03-13 05:43:26,
N/A, 2022-03-13 05:48:26, 2022-03-13 05:48:26,
N/A, 2022-03-13 05:48:19, 2022-03-13 05:48:19,
N/A, 2022-03-13 05:38:56, 2022-03-13 05:38:56,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:36:08, 2022-03-13 05:36:08,
N/A, 2022-03-13 05:43:30, 2022-03-13 05:43:30,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:13,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
Alex Martakis’s iPhone, 2022-03-13 05:35:58, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:39:04, 2022-03-13 05:39:04,
N/A, 2022-03-13 05:36:05, 2022-03-13 05:36:05,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:05,
N/A, 2022-03-13 05:43:26, 2022-03-13 05:43:26,
N/A, 2022-03-13 05:39:01, 2022-03-13 05:39:01,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:39:05, 2022-03-13 05:39:05,
N/A, 2022-03-13 05:43:26, 2022-03-13 05:43:26,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:48:20, 2022-03-13 05:48:20,
N/A, 2022-03-13 05:38:58, 2022-03-13 05:38:58,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:36:04, 2022-03-13 05:36:04,
N/A, 2022-03-13 05:36:03, 2022-03-13 05:36:03,
N/A, 2022-03-13 05:36:08, 2022-03-13 05:36:08,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:48:23, 2022-03-13 05:48:23,
N/A, 2022-03-13 05:43:26, 2022-03-13 05:43:26,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:39:01, 2022-03-13 05:39:01,
N/A, 2022-03-13 05:43:29, 2022-03-13 05:43:29,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:36:07, 2022-03-13 05:36:07,
N/A, 2022-03-13 05:48:18, 2022-03-13 05:48:18,
N/A, 2022-03-13 05:35:58, 2022-03-13 05:35:58,
N/A, 2022-03-13 05:48:21, 2022-03-13 05:48:21,
N/A, 2022-03-13 05:48:23, 2022-03-13 05:48:23,
N/A, 2022-03-13 05:48:19, 2022-03-13 05:54:18,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:48:21, 2022-03-13 05:48:21,
N/A, 2022-03-13 05:54:07, 2022-03-13 05:54:07,
N/A, 2022-03-13 05:38:56, 2022-03-13 05:38:56,
N/A, 2022-03-13 05:38:56, 2022-03-13 05:38:56,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:48:20, 2022-03-13 05:48:20,
N/A, 2022-03-13 05:48:18, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:36:04, 2022-03-13 05:36:04,
N/A, 2022-03-13 05:39:00, 2022-03-13 05:39:00,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:39:02, 2022-03-13 05:39:02,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:38:55, 2022-03-13 05:38:55,
N/A, 2022-03-13 05:48:19, 2022-03-13 05:48:19,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:39:01, 2022-03-13 05:39:01,
N/A, 2022-03-13 05:35:58, 2022-03-13 05:35:58,
N/A, 2022-03-13 05:43:29, 2022-03-13 05:43:29,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:36:01, 2022-03-13 05:36:01,
N/A, 2022-03-13 05:48:22, 2022-03-13 05:48:22,
N/A, 2022-03-13 05:35:58, 2022-03-13 05:35:58,
N/A, 2022-03-13 05:35:58, 2022-03-13 05:35:58,
N/A, 2022-03-13 05:48:20, 2022-03-13 05:48:20,
N/A, 2022-03-13 05:36:01, 2022-03-13 05:36:01,
N/A, 2022-03-13 05:43:29, 2022-03-13 05:43:29,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
N/A, 2022-03-13 05:48:23, 2022-03-13 05:48:23,
N/A, 2022-03-13 05:39:01, 2022-03-13 05:39:01,
N/A, 2022-03-13 05:35:59, 2022-03-13 05:35:59,
Alex’s Apple Watch, 2022-03-13 05:35:59, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
N/A, 2022-03-13 05:43:25, 2022-03-13 05:43:25,
N/A, 2022-03-13 05:39:01, 2022-03-13 05:39:01,
N/A, 2022-03-13 05:39:02, 2022-03-13 05:39:02,
N/A, 2022-03-13 05:38:56, 2022-03-13 05:38:56,
N/A, 2022-03-13 05:39:05, 2022-03-13 05:39:05,
N/A, 2022-03-13 05:36:06, 2022-03-13 05:36:06,
N/A, 2022-03-13 05:54:05, 2022-03-13 05:54:19,
N/A, 2022-03-13 05:38:57, 2022-03-13 05:38:57,
N/A, 2022-03-13 05:48:19, 2022-03-13 05:48:19,
N/A, 2022-03-13 05:36:00, 2022-03-13 05:36:00,
